,Date,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
132,19737,0.081,37,0,18.0,16,7,15.4,76.0,10.8
133,19738,0.082,38,0,18.5,16,7,14.65,81.5,10.8
134,19739,0.125,39,0,19.0,16,7,13.9,87.0,3.6
135,19740,0.121,40,0,19.5,16,7,13.4,90.5,3.6
136,19741,0.182,41,0,20.0,16,7,12.9,94.0,3.6
137,19742,0.184,42,0,20.5,16,7,12.7,94.5,3.6
138,19743,0.108,43,0,21.0,16,7,12.5,95.0,10.8
139,19744,0.094,44,0,21.5,16,7,12.4,95.5,10.8
140,19745,0.175,45,0,22.0,16,7,12.3,96.0,7.2
141,19746,1.891,46,0,22.5,16,7,12.35,94.5,7.2
142,19747,0.396,47,0,23.0,16,7,12.4,93.0,10.8
143,19748,0.093,48,0,23.5,16,7,12.45,92.0,10.8
144,19801,0.115,1,0,0.0,17,7,12.5,91.0,18.0
145,19802,0.117,2,0,0.5,17,7,12.2,92.5,18.0
146,19803,0.092,3,0,1.0,17,7,11.9,94.0,14.4
147,19804,0.103,4,0,1.5,17,7,11.75,94.5,14.4
148,19805,0.131,5,0,2.0,17,7,11.6,95.0,14.4
149,19806,0.088,6,0,2.5,17,7,11.7,95.0,14.4
150,19807,0.087,7,0,3.0,17,7,11.8,95.0,18.0
151,19808,0.086,8,0,3.5,17,7,12.0,94.5,18.0
152,19809,0.129,9,0,4.0,17,7,12.2,94.0,21.6
153,19810,0.086,10,0,4.5,17,7,12.15,93.0,21.6
154,19811,0.086,11,0,5.0,17,7,12.1,92.0,25.2
155,19812,0.096,12,0,5.5,17,7,12.35,91.0,25.2
156,19813,0.121,13,0,6.0,17,7,12.6,90.0,28.8
157,19814,0.086,14,0,6.5,17,7,13.25,86.0,28.8
158,19815,0.086,15,0,7.0,17,7,13.9,82.0,32.4
159,19816,0.103,16,0,7.5,17,7,14.3,80.0,32.4
160,19817,0.108,17,0,8.0,17,7,14.7,78.0,28.8
161,19818,0.537,18,0,8.5,17,7,15.1,73.5,28.8
162,19819,0.174,19,0,9.0,17,7,15.5,69.0,39.6
163,19820,0.116,20,0,9.5,17,7,16.15,67.5,39.6
164,19821,0.098,21,0,10.0,17,7,16.8,66.0,43.2
165,19822,0.084,22,0,10.5,17,7,17.45,64.0,43.2
166,19823,0.082,23,0,11.0,17,7,18.1,62.0,32.4
167,19824,0.126,24,0,11.5,17,7,17.85,61.5,32.4
168,19825,0.083,25,0,12.0,17,7,17.6,61.0,39.6
169,19826,0.837,26,0,12.5,17,7,17.15,65.0,39.6
170,19827,0.091,27,0,13.0,17,7,16.7,69.0,32.4
171,19828,0.124,28,0,13.5,17,7,16.55,68.0,32.4
172,19829,0.08,29,0,14.0,17,7,16.4,67.0,32.4
173,19830,0.081,30,0,14.5,17,7,17.1,64.5,32.4
174,19831,0.09,31,0,15.0,17,7,17.8,62.0,28.8
175,19832,0.116,32,0,15.5,17,7,17.6,63.0,28.8
176,19833,0.081,33,0,16.0,17,7,17.4,64.0,36.0
177,19834,0.081,34,0,16.5,17,7,18.0,64.0,36.0
178,19835,0.125,35,0,17.0,17,7,18.6,64.0,32.4
179,19836,0.082,36,0,17.5,17,7,18.05,64.0,32.4
180,19837,0.081,37,0,18.0,17,7,17.5,64.0,28.8
181,19838,0.092,38,0,18.5,17,7,17.0,63.5,28.8
182,19839,0.114,39,0,19.0,17,7,16.5,63.0,28.8
183,19840,0.083,40,0,19.5,17,7,15.7,66.0,28.8
184,19841,0.083,41,0,20.0,17,7,14.9,69.0,21.6
185,19842,0.125,42,0,20.5,17,7,14.25,71.5,21.6
186,19843,0.083,43,0,21.0,17,7,13.6,74.0,25.2
187,19844,0.082,44,0,21.5,17,7,12.7,79.0,25.2
188,19845,0.112,45,0,22.0,17,7,11.8,84.0,18.0
189,19846,0.095,46,0,22.5,17,7,11.4,85.5,18.0
190,19847,0.083,47,0,23.0,17,7,11.0,87.0,21.6
191,19848,0.083,48,0,23.5,17,7,10.5,90.0,21.6
192,19901,0.125,1,0,0.0,18,7,10.0,93.0,21.6
193,19902,0.083,2,0,0.5,18,7,10.0,93.5,21.6
194,19903,0.08,3,0,1.0,18,7,10.0,94.0,18.0
195,19904,0.11,4,0,1.5,18,7,9.8,94.5,18.0
196,19905,0.094,5,0,2.0,18,7,9.6,95.0,18.0
197,19906,0.082,6,0,2.5,18,7,9.5,96.0,18.0
198,19907,0.082,7,0,3.0,18,7,9.4,97.0,21.6
199,19908,0.142,8,0,3.5,18,7,9.4,98.0,21.6
200,19909,0.088,9,0,4.0,18,7,9.4,99.0,18.0
201,19910,0.088,10,0,4.5,18,7,9.75,99.0,18.0
202,19911,0.092,11,0,5.0,18,7,10.1,99.0,14.4
203,19912,0.127,12,0,5.5,18,7,10.65,99.0,14.4
204,19913,0.087,13,0,6.0,18,7,11.2,99.0,14.4
205,19914,0.086,14,0,6.5,18,7,11.7,97.5,14.4
206,19915,0.125,15,0,7.0,18,7,12.2,96.0,21.6
207,19916,0.087,16,0,7.5,18,7,12.9,92.5,21.6
208,19917,0.084,17,0,8.0,18,7,13.6,89.0,21.6
209,19918,0.083,18,0,8.5,18,7,13.55,90.5,21.6
210,19919,0.127,19,0,9.0,18,7,13.5,92.0,21.6
211,19920,0.526,20,0,9.5,18,7,13.7,90.0,21.6
212,19921,0.082,21,0,10.0,18,7,13.9,88.0,18.0
213,19922,0.082,22,0,10.5,18,7,14.85,79.5,18.0
214,19923,0.125,23,0,11.0,18,7,15.8,71.0,25.2
215,19924,0.082,24,0,11.5,18,7,14.95,80.0,25.2
216,19925,0.082,25,0,12.0,18,7,14.1,89.0,21.6
217,19926,0.108,26,0,12.5,18,7,14.15,86.0,21.6
218,19927,0.1,27,0,13.0,18,7,14.2,83.0,28.8
219,19928,0.083,28,0,13.5,18,7,14.4,81.0,28.8
220,19929,0.083,29,0,14.0,18,7,14.6,79.0,21.6
221,19930,0.126,30,0,14.5,18,7,14.85,77.5,21.6
222,19931,0.083,31,0,15.0,18,7,15.1,76.0,14.4
223,19932,0.083,32,0,15.5,18,7,15.3,74.0,14.4
224,19933,0.086,33,0,16.0,18,7,15.5,72.0,25.2
225,19934,0.124,34,0,16.5,18,7,15.7,70.5,25.2
226,19935,0.156,35,0,17.0,18,7,15.9,69.0,25.2
227,19936,0.138,36,0,17.5,18,7,15.55,70.5,25.2
228,19937,0.139,37,0,18.0,18,7,15.2,72.0,21.6
229,19938,0.096,38,0,18.5,18,7,15.05,73.5,21.6
230,19939,0.092,39,0,19.0,18,7,14.9,75.0,14.4
231,19940,0.147,40,0,19.5,18,7,14.3,79.0,14.4
232,19941,0.219,41,0,20.0,18,7,13.7,83.0,10.8
233,19942,1.17,42,0,20.5,18,7,13.55,85.5,10.8
234,19943,0.583,43,0,21.0,18,7,13.4,88.0,14.4
235,19944,0.858,44,0,21.5,18,7,13.15,91.0,14.4
236,19945,0.081,45,0,22.0,18,7,12.9,94.0,14.4
237,19946,0.081,46,0,22.5,18,7,12.8,95.0,14.4
238,19947,0.082,47,0,23.0,18,7,12.7,96.0,10.8
239,19948,0.125,48,0,23.5,18,7,12.55,97.5,10.8
240,20001,0.082,1,0,0.0,19,7,12.4,99.0,10.8
241,20002,0.084,2,0,0.5,19,7,12.3,99.0,10.8
242,20003,0.127,3,0,1.0,19,7,12.2,99.0,10.8
243,20004,0.081,4,0,1.5,19,7,12.15,99.0,10.8
244,20005,0.082,5,0,2.0,19,7,12.1,99.0,7.2
245,20006,0.083,6,0,2.5,19,7,11.95,99.5,7.2
246,20007,0.133,7,0,3.0,19,7,11.8,100.0,10.8
247,20008,0.086,8,0,3.5,19,7,11.8,100.0,10.8
248,20009,0.086,9,0,4.0,19,7,11.8,100.0,7.2
249,20010,0.092,10,0,4.5,19,7,11.45,100.0,7.2
250,20011,0.123,11,0,5.0,19,7,11.1,100.0,7.2
251,20012,0.087,12,0,5.5,19,7,11.1,100.0,7.2
252,20013,0.085,13,0,6.0,19,7,11.1,100.0,10.8
253,20014,0.119,14,0,6.5,19,7,11.5,100.0,10.8
254,20015,0.095,15,0,7.0,19,7,11.9,100.0,10.8
255,20016,0.084,16,0,7.5,19,7,12.35,98.0,10.8
256,20017,0.084,17,0,8.0,19,7,12.8,96.0,14.4
257,20018,0.127,18,0,8.5,19,7,13.35,93.5,14.4
258,20019,0.084,19,0,9.0,19,7,13.9,91.0,14.4
